ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
413588701,Photo,Western Bluebird,Sialia mexicana,,David Ornellas,2022-02-06,2022,2,6,829,United States,US-CA-059,California,Orange,Huntington Central Park--East,33.7040978,-118.0022383,"",,Unspecified,"","",,,,,,,S102148526,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2769,4154
413560911,Photo,Western Bluebird,Sialia mexicana,,Joe Tuvell,2022-02-05,2022,2,5,726,United States,US-CA-085,California,Santa Clara,"stakeout Oriental Turtle-Dove, Palo Alto (2022)",37.4376660,-122.1162510,Adult Male – 1,,Unspecified,"","",,,,,,,S102064986,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,1162,1747
413525541,Photo,Western Bluebird,Sialia mexicana,,Diane Stinson,2022-02-06,2022,2,6,716,United States,US-CA-073,California,San Diego,Oceanside Harbor & San Luis Rey River mouth,33.2040648,-117.3936708,Adult Male – 1,,Unspecified,"","",,,,,,,S102141507,"",,,,,Sialia mexicana,wesblu,Species,27195,,4.00,1,,1342,1732
413525531,Photo,Western Bluebird,Sialia mexicana,,Diane Stinson,2022-02-06,2022,2,6,716,United States,US-CA-073,California,San Diego,Oceanside Harbor & San Luis Rey River mouth,33.2040648,-117.3936708,Adult Female – 1,,Unspecified,"","",,,,,,,S102141507,"",,,,,Sialia mexicana,wesblu,Species,27195,,4.00,1,,959,1158
413520631,Photo,Western Bluebird,Sialia mexicana,,Rafael Guzman,2022-02-06,2022,2,6,730,United States,US-CA-059,California,Orange,Fullerton Panorama Trail + backyard,33.8921111,-117.9114112,"",,Unspecified,"","",,,,,,,S102134339,"",,,,,Sialia mexicana,wesblu,Species,27195,,2.00,1,,2610,1850
413520611,Photo,Western Bluebird,Sialia mexicana,,Rafael Guzman,2022-02-06,2022,2,6,730,United States,US-CA-059,California,Orange,Fullerton Panorama Trail + backyard,33.8921111,-117.9114112,"",,Unspecified,"","",,,,,,,S102134339,"",,,,,Sialia mexicana,wesblu,Species,27195,,2.00,1,,2290,1927
413395461,Photo,Western Bluebird,Sialia mexicana,,Daniel Gilman,2022-02-03,2022,2,3,915,United States,US-CA-099,California,Stanislaus,San Joaquin River NWR--Pelican Nature Trail ,37.6247770,-121.2073770,"",,Unspecified,"","",,,,,,,S102109973,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1824,2432
413366731,Photo,Western Bluebird,Sialia mexicana,,Jennifer Rycenga,2022-02-04,2022,2,4,1500,United States,US-CA-085,California,Santa Clara,"stakeout Oriental Turtle-Dove, Palo Alto (2022)",37.4376660,-122.1162510,"",,Unspecified,"","",,,,,,,S102033190,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,768,1024
413366711,Photo,Western Bluebird,Sialia mexicana,,Jennifer Rycenga,2022-02-04,2022,2,4,1500,United States,US-CA-085,California,Santa Clara,"stakeout Oriental Turtle-Dove, Palo Alto (2022)",37.4376660,-122.1162510,"",,Unspecified,"","",,,,,,,S102033190,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,768,1024
413366061,Photo,Western Bluebird,Sialia mexicana,,Tsaiwei Olee,2022-02-05,2022,2,5,800,United States,US-CA-073,California,San Diego,Guajome Regional Park,33.2471763,-117.2729558,"",,Unspecified,"","",,,,,,,S102107609,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,503,704
